from_city,to_city,bus_name,bus_number,departure_time,arrival_time,duration,type,price,available_seats,total_seats,rating,features,starting_point,women_special
Tirunelveli,Ramanathapuram,SETC Non-AC Sleeper,TN-88-GE-0606,23:30,10:45,11h 15m,AC Sleeper,756,20,50,4.2,-,Tirunelveli,No
Ramanathapuram,Theni,TNSTC Non-AC Seater,TN-74-RU-3586,21:45,03:36,5h 51m,Non-AC Sleeper,413,38,44,3.6,-,Ramanathapuram,No
Pudukkottai,Erode,SETC Non-AC Seater,TN-69-UP-2647,18:30,00:04,5h 34m,AC Sleeper,565,12,36,4.7,-,Dindigul,Yes
Nagercoil,Pudukkottai,SETC AC Sleeper,TN-63-KN-7308,17:30,22:27,4h 57m,Non-AC Seater,686,5,50,3.7,-,Nagercoil,No
Salem,Kanyakumari,SRS Travels Non-AC Sleeper,TN-74-BS-6331,17:30,22:43,5h 13m,AC Sleeper,303,12,30,3.5,-,Salem,No
Hosur,Kanyakumari,Parveen Travels AC Sleeper,TN-13-QZ-7290,19:45,03:07,7h 22m,AC Sleeper,1213,26,40,4.3,WiFi,Hosur,No
Kumbakonam,Erode,KPN Travels Non-AC Sleeper,TN-12-NJ-5095,18:45,23:39,4h 54m,Non-AC Seater,985,25,36,4.4,-,Kumbakonam,Yes
Cuddalore,Hosur,KPN Travels AC Sleeper,TN-97-QL-5187,19:00,21:36,2h 36m,AC Seater,954,15,40,4.5,-,Cuddalore,Yes
Madurai,Thanjavur,Vivegam Travels Non-AC Sleeper,TN-16-AC-4279,20:15,06:59,10h 44m,AC Seater,1104,34,50,4.1,Water Bottle,Madurai,Yes
Kumbakonam,Chennai,TNSTC Non-AC Seater,TN-46-WW-8341,19:00,00:51,5h 51m,Non-AC Seater,262,36,44,4.4,-,Kumbakonam,No
Thanjavur,Nagercoil,TNSTC Non-AC Sleeper,TN-72-VS-8927,21:15,08:52,11h 37m,AC Seater,298,18,30,4.6,-,Thanjavur,No
Vellore,Thanjavur,TNSTC Non-AC Sleeper,TN-42-DY-7594,21:00,03:49,6h 49m,Non-AC Sleeper,189,15,30,4.8,-,Pudukkottai,No
Thanjavur,Chennai,Parveen Travels AC Sleeper,TN-95-SD-0586,21:45,05:04,7h 19m,AC Sleeper,680,28,50,4.6,-,Thanjavur,No
Coimbatore,Ramanathapuram,Parveen Travels Non-AC Sleeper,TN-64-LT-5002,19:45,01:01,5h 16m,AC Seater,1482,46,50,4.0,Blanket,Coimbatore,No
Tuticorin,Cuddalore,Vivegam Travels AC Sleeper,TN-01-DI-3740,19:30,03:40,8h 10m,Non-AC Seater,1241,11,36,4.5,-,Tuticorin,No
Cuddalore,Thanjavur,TNSTC AC Seater,TN-52-JC-7890,21:30,05:54,8h 24m,Non-AC Seater,148,27,40,3.6,-,Cuddalore,Yes
Kumbakonam,Tirunelveli,Vivegam Travels AC Sleeper,TN-11-XL-0054,22:30,01:42,3h 12m,AC Sleeper,202,38,40,4.7,Charging Port,Kumbakonam,Yes
Madurai,Trichy,Vivegam Travels Non-AC Sleeper,TN-14-IG-5087,20:45,06:40,9h 55m,Non-AC Sleeper,683,25,36,4.1,WiFi,Kanyakumari,Yes
Karur,Nagercoil,Parveen Travels AC Sleeper,TN-68-QV-3034,23:15,06:58,7h 43m,Non-AC Seater,1025,31,40,4.7,Water Bottle,Karur,Yes
Kanyakumari,Trichy,SRM Travels AC Seater,TN-60-UE-1859,20:45,04:52,8h 7m,AC Seater,1004,7,36,4.3,Blanket,Chennai,Yes
Salem,Chennai,SRS Travels Non-AC Seater,TN-04-ZX-4989,18:30,04:46,10h 16m,Non-AC Seater,472,38,44,3.6,Blanket,Salem,Yes
Hosur,Trichy,KPN Travels Non-AC Sleeper,TN-95-YF-1434,18:30,06:02,11h 32m,AC Seater,1129,21,40,3.7,Water Bottle,Hosur,Yes
Pudukkottai,Ramanathapuram,Parveen Travels Non-AC Seater,TN-75-TJ-6823,20:15,00:07,3h 52m,Non-AC Seater,609,24,30,4.2,Blanket,Pudukkottai,Yes
Karur,Trichy,TNSTC Non-AC Seater,TN-42-IY-3942,21:15,04:41,7h 26m,AC Seater,523,29,50,4.9,-,Karur,Yes
Salem,Karur,SRS Travels Non-AC Seater,TN-32-OK-6863,21:15,08:43,11h 28m,Non-AC Sleeper,680,18,40,3.8,-,Salem,No
Nagercoil,Theni,TNSTC AC Seater,TN-19-MV-3150,19:15,05:40,10h 25m,AC Sleeper,636,15,40,3.9,-,Kanyakumari,No
Dindigul,Karur,Parveen Travels Non-AC Sleeper,TN-09-DY-0051,23:00,05:22,6h 22m,AC Seater,1384,9,36,3.7,WiFi,Dindigul,Yes
Nagercoil,Tirunelveli,SETC AC Sleeper,TN-68-OV-2252,17:00,01:00,8h 0m,Non-AC Seater,428,44,50,4.9,-,Ramanathapuram,No
Kumbakonam,Kanyakumari,Parveen Travels Non-AC Sleeper,TN-32-SG-0317,17:30,19:30,2h 0m,AC Seater,681,8,40,3.9,Blanket,Kumbakonam,Yes
Erode,Theni,TNSTC Non-AC Seater,TN-10-PD-8731,17:30,20:20,2h 50m,Non-AC Seater,168,32,44,4.5,-,Erode,No
Tuticorin,Chennai,SETC Non-AC Sleeper,TN-41-HN-2124,19:30,22:44,3h 14m,AC Seater,378,43,44,4.4,-,Tuticorin,Yes
Salem,Pudukkottai,TNSTC Non-AC Sleeper,TN-66-OD-8903,23:00,10:20,11h 20m,Non-AC Sleeper,765,13,44,5.0,-,Salem,No
